,temperature_num,heart_rate_num,sleep_state_cat
790,37.25,146,3
791,37.25,167,3
792,37.2,167,3
793,37.2,151,3
794,37.2,152,3
795,37.2,140,3
796,37.2,168,3
797,37.2,158,3
798,37.2,157,2
799,37.2,164,2
800,37.2,159,2
801,37.2,137,2
802,37.2,157,2
803,37.2,134,2
804,37.15,151,2
805,37.15,128,2
806,37.15,160,2
807,37.2,143,2
808,37.15,152,2
809,37.2,148,2
810,37.2,161,1
811,37.2,148,1
812,37.15,152,1
813,37.15,144,1
814,37.15,152,1
815,37.15,147,1
816,37.15,153,1
817,37.15,155,1
818,37.15,147,1
819,37.15,143,1
820,37.15,131,1
821,37.15,147,1
822,37.15,169,1
823,37.15,125,1
824,37.15,168,1
825,37.15,146,1
826,37.15,148,1
827,37.1,151,1
828,37.1,161,1
829,37.1,134,1
830,37.1,148,1
831,37.1,152,1
832,37.1,158,1
833,37.1,146,1
834,37.1,165,1
835,37.1,146,1
836,37.1,153,1
837,37.1,160,1
838,37.1,162,1
839,37.1,140,1
840,37.1,156,1
841,37.1,148,1
842,37.1,150,1
843,37.1,151,1
844,37.1,155,1
845,37.1,157,1
846,37.1,152,1
847,37.05,162,1
848,37.05,161,1
849,37.05,151,1
850,37.05,169,1
851,37.05,155,1
852,37.05,150,1
853,37.05,147,1
854,37.05,153,1
855,37.05,187,1
856,37.05,144,1
857,37.05,136,1
858,37.05,140,1
859,37.05,148,1
860,37.05,154,1
861,37.05,144,1
862,37.05,151,1
863,37.05,148,1
864,37.1,164,1
865,37.1,153,1
866,37.1,163,1
867,37.1,138,1
868,37.1,140,1
869,37.1,169,1
870,37.1,150,1
871,37.1,151,3
872,37.1,160,3
873,37.05,146,3
874,37.1,150,3
875,37.1,164,3
876,37.15,166,3
877,37.15,144,3
878,37.15,158,3
879,37.15,159,3
880,37.15,161,3
881,37.15,151,3
882,37.15,170,3
883,37.15,163,3
884,37.15,136,3
885,37.15,150,3
886,37.15,150,3
887,37.15,140,3
888,37.15,156,3
889,37.15,142,3
890,37.15,155,3
891,37.2,151,3
892,37.2,153,3
893,37.2,161,3
894,37.2,156,3
895,37.2,145,3
896,37.2,160,3
897,37.2,146,3
898,37.2,146,3
899,37.2,166,3
900,37.2,150,3
901,37.2,162,3
902,37.2,150,3
903,37.25,157,3
904,37.25,141,3
905,37.25,156,3
906,37.25,174,3
907,37.25,163,3
908,37.3,162,3
909,37.3,171,3
910,37.3,163,3
911,37.3,166,3
912,37.3,156,3
913,37.3,171,3
914,37.3,165,3
915,37.3,140,3
916,37.3,165,2
917,37.3,161,2
918,37.3,159,2
919,37.3,156,2
920,37.3,131,2
921,37.3,153,2
922,37.3,152,2
923,37.3,156,2
924,37.3,149,2
925,37.3,148,2
926,37.3,172,2
927,37.3,176,2
928,37.3,181,3
929,37.3,140,3
930,37.3,133,3
931,37.3,144,3
932,37.3,154,3
933,37.3,131,3
934,37.3,148,3
935,37.3,159,3
936,37.3,165,3
937,37.3,157,3
938,37.3,171,3
939,37.3,164,3
940,37.3,172,4
941,37.35,163,4
942,37.35,166,4
943,37.35,170,4
944,37.35,166,4
945,37.35,162,4
946,37.35,145,4
947,37.35,140,4
948,37.35,152,4
949,37.35,125,4
950,37.35,141,4
951,37.35,163,4
952,37.35,143,2
953,37.35,141,2
954,37.35,153,2
955,37.35,142,2
956,37.35,142,2
957,37.3,143,2
958,37.3,149,2
959,37.3,140,1
960,37.3,154,1
961,37.3,138,1
962,37.3,144,1
963,37.3,147,1
964,37.3,143,1
965,37.3,138,1
966,37.3,140,1
967,37.3,141,1
968,37.3,144,1
969,37.3,148,1
970,37.3,158,1
971,37.3,161,1
972,37.3,125,1
973,37.3,138,1
974,37.3,114,1
975,37.3,126,1
976,37.3,134,1
977,37.25,132,1
978,37.25,143,1
979,37.25,106,1
980,37.25,141,1
981,37.25,143,1
982,37.25,128,1
983,37.25,117,1
984,37.25,127,1
985,37.2,130,1
986,37.2,126,1
987,37.2,129,1
988,37.2,117,1
989,37.2,139,1
990,37.2,126,1
991,37.2,138,1
992,37.2,128,1
993,37.2,142,1
994,37.2,146,1
995,37.2,107,1
996,37.2,126,1
997,37.2,152,1
998,37.15,131,1
999,37.15,127,1
1000,37.15,129,1
1001,37.15,126,1
1002,37.15,131,1
1003,37.15,128,1
1004,37.15,130,1
1005,37.15,132,1
1006,37.15,141,1
1007,37.15,135,1
1008,37.15,153,1
1009,37.15,161,1
1010,37.15,151,1
1011,37.15,140,1
1012,37.15,148,4
1013,37.15,157,4
1014,37.15,131,4
1015,37.15,148,4
1016,37.15,152,4
1017,37.15,177,4
1018,37.15,164,4
1019,37.15,180,4
1020,37.15,174,4
1021,37.15,153,4
1022,37.15,175,4
1023,37.15,161,4
